,lead_lag,time_diff,inv_reset,thres_distance,auc,se,total_fit_time,total_compute_score_time
0,False,False,False,4000,0.6268689199999999,0.005625357259131739,0.05830693244934082,0.051526784896850586
1,False,False,False,8000,0.6225044799999999,0.00562516000371904,0.05159711837768555,0.04204893112182617
2,False,False,False,16000,0.64450962,0.005478967964336971,0.05271291732788086,0.03877687454223633
3,False,False,False,32000,0.66014052,0.005438257155468799,0.05179905891418457,0.040194034576416016
4,False,False,True,4000,0.6864077000000001,0.0052907029527349434,0.055238962173461914,0.04138326644897461
5,False,False,True,8000,0.701172,0.005209641732758797,0.0554506778717041,0.0466310977935791
6,False,False,True,16000,0.71504602,0.005103596793631911,0.05741691589355469,0.040170907974243164
7,False,False,True,32000,0.71755674,0.0050953072341731066,0.05780982971191406,0.040741682052612305
8,False,True,False,4000,0.73135284,0.005054668547346524,0.0531468391418457,0.037831783294677734
9,False,True,False,8000,0.71434152,0.005138044544117271,0.05177116394042969,0.03804492950439453
10,False,True,False,16000,0.73657252,0.004936761177161017,0.052160024642944336,0.03613090515136719
11,False,True,False,32000,0.7708497599999999,0.0046689439778516435,0.05466008186340332,0.036875009536743164
12,False,True,True,4000,0.77722798,0.004706725234977396,0.05305790901184082,0.03690004348754883
13,False,True,True,8000,0.7838623600000001,0.004617044190844924,0.05353212356567383,0.036478281021118164
14,False,True,True,16000,0.78936158,0.004577828830047738,0.051573991775512695,0.03549838066101074
15,False,True,True,32000,0.8076452,0.004409312405042804,0.054934024810791016,0.03598904609680176
16,True,False,False,4000,0.6170922000000001,0.005644312775422841,0.06718611717224121,0.04940223693847656
17,True,False,False,8000,0.59637166,0.005696778973552527,0.05322694778442383,0.03949093818664551
18,True,False,False,16000,0.63445242,0.00553868985866389,0.051873207092285156,0.03923296928405762
19,True,False,False,32000,0.66781136,0.00538022729332577,0.05912494659423828,0.040590763092041016
20,True,False,True,4000,0.6915240599999999,0.005256011369703014,0.05593395233154297,0.04273700714111328
21,True,False,True,8000,0.70141122,0.005209306969689542,0.051653146743774414,0.04305624961853027
22,True,False,True,16000,0.6912358999999999,0.005266634566694353,0.05639195442199707,0.04021787643432617
23,True,False,True,32000,0.71261336,0.005153724595722268,0.05927014350891113,0.03931283950805664
24,True,True,False,4000,0.7252167200000001,0.00510864155431272,0.05981111526489258,0.03804588317871094
25,True,True,False,8000,0.6921254799999998,0.005263834697259178,0.05395007133483887,0.03630709648132324
26,True,True,False,16000,0.71564308,0.005078959819455652,0.057446956634521484,0.0340418815612793
27,True,True,False,32000,0.75724694,0.004751842780799588,0.052490234375,0.032984018325805664
28,True,True,True,4000,0.7788726800000001,0.0046803687207227765,0.05361175537109375,0.04177999496459961
29,True,True,True,8000,0.78208,0.004631193163295874,0.05369710922241211,0.04083514213562012
30,True,True,True,16000,0.8014563800000001,0.004500888560031279,0.05294299125671387,0.03975820541381836
31,True,True,True,32000,0.8232023999999999,0.0042449916156126295,0.0541379451751709,0.04123711585998535
