,lead_lag,time_diff,inv_reset,thres_distance,auc,se,total_fit_time,total_compute_score_time
0,False,False,False,4000,0.749824,0.004837384745939868,1.652777910232544,3.4371819496154785
1,False,False,False,8000,0.7403874400000001,0.004895296521201377,1.4892380237579346,3.206170082092285
2,False,False,False,16000,0.7375581200000001,0.004893467897193522,1.46596097946167,3.253856897354126
3,False,False,False,32000,0.74586848,0.004837004780858864,1.482384204864502,3.1141369342803955
4,False,False,True,4000,0.8109348,0.004205510631925076,1.8560340404510498,3.906435012817383
5,False,False,True,8000,0.8082413599999999,0.0042203409100409015,1.8324663639068604,3.482327938079834
6,False,False,True,16000,0.81860108,0.004127371125966494,1.7972710132598877,3.5845677852630615
7,False,False,True,32000,0.8339557200000001,0.003947146426933389,2.3285698890686035,4.420166015625
8,False,True,False,4000,0.8208905599999999,0.004251374906456238,1.939640760421753,3.5684731006622314
9,False,True,False,8000,0.8282533999999999,0.0041409693279119125,1.8767359256744385,3.650024890899658
10,False,True,False,16000,0.84593268,0.0038892557250173564,2.014075994491577,3.575536012649536
11,False,True,False,32000,0.86457108,0.003652676906496983,1.9035730361938477,3.7040109634399414
12,False,True,True,4000,0.8521481199999998,0.0037871493740208417,2.3146321773529053,6.448454856872559
13,False,True,True,8000,0.85581624,0.0037202431229425587,2.7138540744781494,7.29258918762207
14,False,True,True,16000,0.86993132,0.003502594708212182,2.7312052249908447,6.211560964584351
15,False,True,True,32000,0.88638976,0.003259427392945837,2.802006959915161,10.205099821090698
16,True,False,False,4000,0.8138638,0.00425462596198299,2.2295749187469482,5.5110249519348145
17,True,False,False,8000,0.8097710399999999,0.0042496297830104555,2.423044204711914,6.593661069869995
18,True,False,False,16000,0.82269984,0.00410555871882297,2.292570114135742,6.530897855758667
19,True,False,False,32000,0.8265306399999999,0.004074470042567456,2.428821086883545,7.525089979171753
20,True,False,True,4000,0.8327980800000001,0.003933649172792885,2.7817389965057373,25.220913887023926
21,True,False,True,8000,0.8335622399999999,0.003936748741855798,2.8474197387695312,26.126667022705078
22,True,False,True,16000,0.84599592,0.003778110822218648,2.7748889923095703,24.810657024383545
23,True,False,True,32000,0.85275268,0.003739068298792389,3.038058042526245,27.10634708404541
24,True,True,False,4000,0.8562809999999998,0.0038114586658959475,3.264695882797241,33.88766169548035
25,True,True,False,8000,0.86130924,0.003738850734581653,3.3261780738830566,31.15889811515808
26,True,True,False,16000,0.87346404,0.0035630127944202327,3.3290700912475586,40.08385992050171
27,True,True,False,32000,0.8875021599999999,0.003323826304677217,3.584049940109253,33.47561192512512
28,True,True,True,4000,0.86295996,0.0036640906970186143,3.914501190185547,47.81637001037598
29,True,True,True,8000,0.8654096800000001,0.0036237003788902678,3.7806739807128906,45.12883973121643
30,True,True,True,16000,0.87949776,0.0034037275439786144,4.762589931488037,41.9513258934021
31,True,True,True,32000,0.8946982,0.0031513438666211663,3.941904067993164,42.78218698501587
