,dataset,conformance,conformance standard deviation,ADSL,ADSL standard deviation
0,Adiac,1.0,0.0,0.99,0.1
1,ArrowHead,0.8119072708113804,0.07119284357755994,0.65,0.03
2,Beef,0.9791666666666667,0.1841423909339968,0.57,0.15
3,BeetleFly,0.9,0.0632455532033676,0.9,0.08
4,BirdChicken,0.925,0.10606601717798214,0.85,0.15
5,CBF,0.967741935483871,0.015534750634645232,0.8,0.04
6,ChlorineConcentration,0.9000552026618269,0.008476600786819099,0.5,0.0
7,Coffee,0.712962962962963,0.10948745090281979,0.84,0.04
8,ECG200,0.8030998851894374,0.06777173707211222,0.5,0.03
9,ECGFiveDays,0.9546354380913205,0.015469585174038477,0.94,0.11
10,FaceFour,0.7319277108433735,0.06247924195926606,0.94,0.1
11,GunPoint,0.865,0.06074537019394973,0.75,0.03
12,Ham,0.5205920205920206,0.03480565904083114,0.5,0.02
13,Herring,0.5274509803921569,0.06167940300256192,0.52,0.02
14,Lightning2,0.7354166666666666,0.07642171012073587,0.63,0.07
15,Lightning7,0.9435483870967742,0.09123958466923196,0.73,0.11
16,Meat,0.9875,0.04861359120657518,1.0,0.04
17,MedicalImages,0.9703467153284672,0.03916375294768915,0.9,0.03
18,MoteStrain,0.890554545228071,0.011713252626106797,0.74,0.01
19,Plane,1.0,0.0,1.0,0.04
20,Strawberry,0.8993896925858951,0.008363166506322297,0.77,0.03
21,Symbols,1.0,0.006635589202480094,0.96,0.02
22,ToeSegmentation1,0.7494419642857143,0.03872824142756897,0.95,0.01
23,ToeSegmentation2,0.7885714285714285,0.05220868739545713,0.88,0.02
24,Trace,1.0,0.05152489509756245,1.0,0.04
25,TwoLeadECG,0.9035291411953232,0.01503625680637069,0.89,0.01
26,Wafer,0.9638482087281278,0.012312417557180298,0.56,0.02
27,Wine,0.835016835016835,0.09370820624166479,0.53,0.02
